Genes	Modules
2634	ENSG00000184164	grey60
2635	ENSG00000184216	darkorange
2636	ENSG00000184220	white
2637	ENSG00000184232	darkorange
2638	ENSG00000184281	darkmagenta
2639	ENSG00000184347	grey60
2640	ENSG00000184371	lightyellow
2641	ENSG00000184432	black
2642	ENSG00000184500	brown
2643	ENSG00000184557	lightyellow
2644	ENSG00000184575	black
2645	ENSG00000184588	darkturquoise
2646	ENSG00000184640	green
2647	ENSG00000184743	black
2648	ENSG00000184752	blue
2649	ENSG00000184787	darkmagenta
2650	ENSG00000184840	blue
2651	ENSG00000184900	blue
2652	ENSG00000184939	darkmagenta
2653	ENSG00000185022	pink
2654	ENSG00000185043	blue
2655	ENSG00000185070	darkmagenta
2656	ENSG00000185088	blue
2657	ENSG00000185129	darkmagenta
2658	ENSG00000185201	green
2659	ENSG00000185215	grey60
2660	ENSG00000185222	darkmagenta
2661	ENSG00000185236	darkorange
2662	ENSG00000185432	darkmagenta
2663	ENSG00000185567	green
2664	ENSG00000185585	green
2665	ENSG00000185624	green
2666	ENSG00000185627	grey
2667	ENSG00000185633	pink
2668	ENSG00000185650	darkmagenta
2669	ENSG00000185651	blue
2670	ENSG00000185721	darkturquoise
2671	ENSG00000185745	midnightblue
2672	ENSG00000185787	black
2673	ENSG00000185800	darkmagenta
2674	ENSG00000185825	lightgreen
2675	ENSG00000185885	midnightblue
2676	ENSG00000185896	darkorange
2677	ENSG00000186010	darkmagenta
2678	ENSG00000186111	darkorange
2679	ENSG00000186184	darkturquoise
2680	ENSG00000186298	black
2681	ENSG00000186340	steelblue
2682	ENSG00000186350	darkorange
2683	ENSG00000186432	black
2684	ENSG00000186468	darkturquoise
2685	ENSG00000186480	black
2686	ENSG00000186522	black
2687	ENSG00000186591	brown
2688	ENSG00000186687	darkmagenta
2689	ENSG00000186918	white
2690	ENSG00000187051	cyan
2691	ENSG00000187079	black
2692	ENSG00000187091	green
2693	ENSG00000187109	black
2694	ENSG00000187134	darkorange
2695	ENSG00000187446	black
2696	ENSG00000187498	midnightblue
2697	ENSG00000187514	black
2698	ENSG00000187608	midnightblue
2699	ENSG00000187678	greenyellow
2700	ENSG00000187735	black
2701	ENSG00000187837	darkmagenta
2702	ENSG00000187840	darkturquoise
2703	ENSG00000187955	brown
2704	ENSG00000188042	darkmagenta
2705	ENSG00000188112	darkmagenta
2706	ENSG00000188157	midnightblue
2707	ENSG00000188186	cyan
